rebuilding saved_objs/Dataset/20.pkl

Now Training 20 with num_epochs=100, alpha=0.0001, AdamNoAMS, weight_decay=0.001
Epoch [0], train_loss: 1.5665, val_loss: 1.1443, val_acc: 0.6181, time: 178.6660
Epoch [1], train_loss: 0.9474, val_loss: 0.8459, val_acc: 0.7129, time: 179.9593
Epoch [2], train_loss: 0.7494, val_loss: 0.6892, val_acc: 0.7645, time: 179.7141
Epoch [3], train_loss: 0.6428, val_loss: 0.6338, val_acc: 0.7806, time: 179.9120
Epoch [4], train_loss: 0.5564, val_loss: 0.5755, val_acc: 0.8073, time: 180.9887
Epoch [5], train_loss: 0.4923, val_loss: 0.5450, val_acc: 0.8182, time: 179.7198
Epoch [6], train_loss: 0.4397, val_loss: 0.4973, val_acc: 0.8323, time: 182.1423
Epoch [7], train_loss: 0.4008, val_loss: 0.4376, val_acc: 0.8519, time: 180.1895
Epoch [8], train_loss: 0.3624, val_loss: 0.4048, val_acc: 0.8604, time: 180.5707
Epoch [9], train_loss: 0.3448, val_loss: 0.3623, val_acc: 0.8785, time: 180.5740
Epoch [10], train_loss: 0.3133, val_loss: 0.3775, val_acc: 0.8744, time: 179.9827
Epoch [11], train_loss: 0.2933, val_loss: 0.3256, val_acc: 0.8927, time: 180.1188
Epoch [12], train_loss: 0.2756, val_loss: 0.3360, val_acc: 0.8892, time: 180.0581
Epoch [13], train_loss: 0.2586, val_loss: 0.3156, val_acc: 0.8910, time: 181.2589
Epoch [14], train_loss: 0.2466, val_loss: 0.3067, val_acc: 0.9006, time: 179.6953
Epoch [15], train_loss: 0.2336, val_loss: 0.3173, val_acc: 0.8956, time: 179.8061
Epoch [16], train_loss: 0.2227, val_loss: 0.2890, val_acc: 0.9038, time: 180.2211
Epoch [17], train_loss: 0.2153, val_loss: 0.3283, val_acc: 0.8948, time: 180.7702
Epoch [18], train_loss: 0.2010, val_loss: 0.2891, val_acc: 0.9044, time: 183.1371
Epoch [19], train_loss: 0.1962, val_loss: 0.2963, val_acc: 0.9019, time: 181.7200
Epoch [20], train_loss: 0.1892, val_loss: 0.2485, val_acc: 0.9168, time: 182.7160
Epoch [21], train_loss: 0.1768, val_loss: 0.2528, val_acc: 0.9149, time: 182.2515
Epoch [22], train_loss: 0.1715, val_loss: 0.2955, val_acc: 0.9030, time: 180.7556
Epoch [23], train_loss: 0.1693, val_loss: 0.2402, val_acc: 0.9190, time: 181.6372
Epoch [24], train_loss: 0.1589, val_loss: 0.2283, val_acc: 0.9247, time: 188.9504
Epoch [25], train_loss: 0.1523, val_loss: 0.2409, val_acc: 0.9196, time: 185.2597
Epoch [26], train_loss: 0.1467, val_loss: 0.2353, val_acc: 0.9192, time: 185.8761
Epoch [27], train_loss: 0.1424, val_loss: 0.2587, val_acc: 0.9139, time: 185.3960
Epoch [28], train_loss: 0.1395, val_loss: 0.2401, val_acc: 0.9216, time: 188.1209
Epoch [29], train_loss: 0.1367, val_loss: 0.2379, val_acc: 0.9226, time: 188.0248
Epoch [30], train_loss: 0.1344, val_loss: 0.2079, val_acc: 0.9315, time: 187.2133
Epoch [31], train_loss: 0.1260, val_loss: 0.1981, val_acc: 0.9336, time: 187.3345
Epoch [32], train_loss: 0.1250, val_loss: 0.1980, val_acc: 0.9366, time: 188.2473
Epoch [33], train_loss: 0.1226, val_loss: 0.2058, val_acc: 0.9337, time: 188.3279
Epoch [34], train_loss: 0.1242, val_loss: 0.2163, val_acc: 0.9279, time: 188.5552
Epoch [35], train_loss: 0.1169, val_loss: 0.1779, val_acc: 0.9421, time: 188.2627
Epoch [36], train_loss: 0.1128, val_loss: 0.1943, val_acc: 0.9384, time: 190.3067
Epoch [37], train_loss: 0.1169, val_loss: 0.2583, val_acc: 0.9167, time: 190.4215
Epoch [38], train_loss: 0.1104, val_loss: 0.1873, val_acc: 0.9438, time: 190.8038
Epoch [39], train_loss: 0.1068, val_loss: 0.1798, val_acc: 0.9408, time: 190.7308
Epoch [40], train_loss: 0.1039, val_loss: 0.2031, val_acc: 0.9328, time: 191.1027
Epoch [41], train_loss: 0.1029, val_loss: 0.2069, val_acc: 0.9332, time: 191.5379
Epoch [42], train_loss: 0.1030, val_loss: 0.1977, val_acc: 0.9358, time: 205.3805
Epoch [43], train_loss: 0.1022, val_loss: 0.2168, val_acc: 0.9283, time: 191.0105
Epoch [44], train_loss: 0.0956, val_loss: 0.1853, val_acc: 0.9416, time: 191.0832
Epoch [45], train_loss: 0.0981, val_loss: 0.1838, val_acc: 0.9407, time: 190.1738
Epoch [46], train_loss: 0.0937, val_loss: 0.1680, val_acc: 0.9460, time: 191.3073
Epoch [47], train_loss: 0.0971, val_loss: 0.1904, val_acc: 0.9381, time: 188.7887
Epoch [48], train_loss: 0.0930, val_loss: 0.2037, val_acc: 0.9364, time: 188.2781
Epoch [49], train_loss: 0.0959, val_loss: 0.1667, val_acc: 0.9473, time: 186.5484
Epoch [50], train_loss: 0.0915, val_loss: 0.1801, val_acc: 0.9403, time: 185.7243
Epoch [51], train_loss: 0.0909, val_loss: 0.1825, val_acc: 0.9412, time: 186.1943
Epoch [52], train_loss: 0.0850, val_loss: 0.1771, val_acc: 0.9428, time: 191.0182
Epoch [53], train_loss: 0.0848, val_loss: 0.1525, val_acc: 0.9522, time: 223.4289
Epoch [54], train_loss: 0.0863, val_loss: 0.1626, val_acc: 0.9493, time: 257.6688
Epoch [55], train_loss: 0.0838, val_loss: 0.1580, val_acc: 0.9486, time: 272.4481
Epoch [56], train_loss: 0.0851, val_loss: 0.1867, val_acc: 0.9417, time: 278.7421
Epoch [57], train_loss: 0.0842, val_loss: 0.1871, val_acc: 0.9407, time: 282.3775
